tier,perturbation,model,asr_wildguard,asr_llamaguard,n_samples
minionese,minionese,Qwen/Qwen2.5-7B-Instruct,0.2474,0.0,384
tier1,code_switching,Qwen/Qwen2.5-7B-Instruct,0.11198,0.0,1920
tier1,standard_translation,Qwen/Qwen2.5-7B-Instruct,0.02444,0.0,1920
tier1,translationese,Qwen/Qwen2.5-7B-Instruct,0.055220000000000005,0.0,1920
tier1,transliteration,Qwen/Qwen2.5-7B-Instruct,0.625,0.0,1920
tier2,code_switching,Qwen/Qwen2.5-7B-Instruct,0.23695,0.0,1536
tier2,standard_translation,Qwen/Qwen2.5-7B-Instruct,0.046875,0.0,1536
tier2,translationese,Qwen/Qwen2.5-7B-Instruct,0.22394999999999998,0.0,1536
tier2,transliteration,Qwen/Qwen2.5-7B-Instruct,0.41535,0.0,1536
tier3,code_switching,Qwen/Qwen2.5-7B-Instruct,0.464825,0.0,1536
tier3,standard_translation,Qwen/Qwen2.5-7B-Instruct,0.37825,0.0,1536
tier3,translationese,Qwen/Qwen2.5-7B-Instruct,0.48045000000000004,0.0,1536
tier3,transliteration,Qwen/Qwen2.5-7B-Instruct,0.73895,0.0,1536
tier4,code_switching,Qwen/Qwen2.5-7B-Instruct,0.625,0.0,1920
tier4,standard_translation,Qwen/Qwen2.5-7B-Instruct,0.66978,0.0,1920
tier4,translationese,Qwen/Qwen2.5-7B-Instruct,0.64634,0.0,1920
tier4,transliteration,Qwen/Qwen2.5-7B-Instruct,0.29846,0.0,1920
