tier,perturbation,model,asr_wildguard,asr_llamaguard,n_samples
minionese,minionese,meta-llama/Llama-3.1-8B-Instruct,0.3984,0.0,384
tier1,code_switching,meta-llama/Llama-3.1-8B-Instruct,0.12811999999999998,0.0,1920
tier1,standard_translation,meta-llama/Llama-3.1-8B-Instruct,0.04478,0.0,1920
tier1,translationese,meta-llama/Llama-3.1-8B-Instruct,0.07605999999999999,0.0,1920
tier1,transliteration,meta-llama/Llama-3.1-8B-Instruct,0.70052,0.0,1920
tier2,code_switching,meta-llama/Llama-3.1-8B-Instruct,0.266275,0.0,1536
tier2,standard_translation,meta-llama/Llama-3.1-8B-Instruct,0.14385,0.0,1536
tier2,translationese,meta-llama/Llama-3.1-8B-Instruct,0.34375,0.0,1536
tier2,transliteration,meta-llama/Llama-3.1-8B-Instruct,0.6784,0.0,1536
tier3,code_switching,meta-llama/Llama-3.1-8B-Instruct,0.5508,0.0,1536
tier3,standard_translation,meta-llama/Llama-3.1-8B-Instruct,0.38605,0.0,1536
tier3,translationese,meta-llama/Llama-3.1-8B-Instruct,0.5241,0.0,1536
tier3,transliteration,meta-llama/Llama-3.1-8B-Instruct,0.8034,0.0,1536
tier4,code_switching,meta-llama/Llama-3.1-8B-Instruct,0.62708,0.0,1920
tier4,standard_translation,meta-llama/Llama-3.1-8B-Instruct,0.80106,0.0,1920
tier4,translationese,meta-llama/Llama-3.1-8B-Instruct,0.80366,0.0,1920
tier4,transliteration,meta-llama/Llama-3.1-8B-Instruct,0.29738,0.0,1920
